Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,12/31/2024,"MONTHLY SERVICE FEE",-15.00,FEE_TRANSACTION,8808.68,,
DEBIT,12/30/2024,"AMZN Digital*ZE1LS9MP 888-802-3080 WA        12/30",-16.99,DEBIT_CARD,8823.68,,
DEBIT,12/30/2024,"Zelle payment to Clay Rebber JPM99attldx9",-500.00,CHASE_TO_PARTNERFI,8840.67,,
DEBIT,12/30/2024,"BRYAN ELLIS DOCSTER.IO IN                    12/28",-210.00,DEBIT_CARD,9340.67,,
DEBIT,12/30/2024,"ADOBE  *800-833-6687 ADOBE.LY/ENUS CA        12/28",-69.99,DEBIT_CARD,9550.67,,
DEBIT,12/27/2024,"FIGMA MONTHLY RENEWAL FIGMA.COM CA           12/27",-30.00,DEBIT_CARD,9620.66,,
DEBIT,12/27/2024,"DRIBBBLE HTTPSDRIBBBLE MA                    12/26",-150.00,DEBIT_CARD,9650.66,,
DEBIT,12/26/2024,"ATT*BILL PAYMENT 800-288-2020 TX             12/24",-167.79,DEBIT_CARD,9800.66,,
DEBIT,12/23/2024,"BRYAN ELLIS DOCSTER.IO IN                    12/21",-700.00,DEBIT_CARD,9968.45,,
DEBIT,12/23/2024,"PAYPAL *MEDIUM.COM 402-935-7733 DE           12/21",-5.00,DEBIT_CARD,10668.45,,
DEBIT,12/23/2024,"Regus Management Group iwgplc.com TX         12/20",-607.43,DEBIT_CARD,10673.45,,
DEBIT,12/20/2024,"Online Transfer to CHK ...8871 transaction#: 23120912866 12/20",-2000.00,ACCT_XFER,11280.88,,
CREDIT,12/20/2024,"SERVICE FEE REVERSAL",15.00,REFUND_TRANSACTION,13280.88,,
DEBIT,12/16/2024,"Zelle payment to Drew Fowler JPM99at19kay",-240.00,CHASE_TO_PARTNERFI,13265.88,,
DEBIT,12/16/2024,"Microsoft*Microsoft 36 425-6816830 WA        12/14",-7.48,DEBIT_CARD,13505.88,,
DEBIT,12/16/2024,"BRYAN ELLIS DOCSTER.IO IN                    12/13",-560.00,DEBIT_CARD,13513.36,,
CREDIT,12/16/2024,"Online Transfer from CHK ...8871 transaction#: 23069340717",13000.00,ACCT_XFER,14073.36,,
CREDIT,12/13/2024,"Online Transfer from CHK ...8871 transaction#: 23043059987",1000.00,ACCT_XFER,1073.36,,
DEBIT,12/11/2024,"BRYAN ELLIS DOCSTER.IO IN                    12/10",-840.00,DEBIT_CARD,73.36,,
DEBIT,12/10/2024,"ADOBE  *800-833-6687 ADOBE.LY/ENUS CA        12/10",-64.19,DEBIT_CARD,913.36,,
CREDIT,12/10/2024,"Online Transfer from CHK ...8871 transaction#: 23003429337",200.00,ACCT_XFER,977.55,,
CREDIT,12/10/2024,"Online Transfer from CHK ...8871 transaction#: 23003405877",700.00,ACCT_XFER,777.55,,
DEBIT,12/03/2024,"US PATENT TRADEMARK 571-272-6500 VA          12/02",-500.00,DEBIT_CARD,77.55,,
DEBIT,12/02/2024,"AMZN Digital*Z33HD45Y 888-802-3080 WA        11/30",-16.99,DEBIT_CARD,577.55,,
CREDIT,12/02/2024,"Online Transfer from CHK ...8871 transaction#: 22888824954",100.00,ACCT_XFER,594.54,,
